_Cell,Seq,Chan,Fun,Hxf,Save2Mix,Notes,MxAdd,Shex,MxDatS,MxDat,sAdd,sCon,dAdd,dCon,Function,FunX,ShFunction,ShFunX,Table,ShTable,SigmaKey,Sigma,DspI2c,DspSpi,DspPage,DspAdd,DspAddHex,Checked,DefStr,Type,Neutral,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope
Chan010Mtr002,1,10,2,,false,Channel input level meter (pre/post),28,it,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4645,0x1225,,,,-,,Instant,0,0,Linear,Scalar
Chan011Mtr001,1,11,1,,false,Channel input level meter (pre/post),29,iu,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4648,0x1228,,,,-,,Instant,0,0,Linear,Scalar
Chan011Mtr002,1,11,2,,false,Channel input level meter (pre/post),30,iv,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4649,0x1229,,,,-,,Instant,0,0,Linear,Scalar
Chan012Mtr001,1,12,1,,false,Channel input level meter (pre/post),31,iw,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4652,0x122C,,,,-,,Instant,0,0,Linear,Scalar
Chan012Mtr002,1,12,2,,false,Channel input level meter (pre/post),32,jh,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4653,0x122D,,,,-,,Instant,0,0,Linear,Scalar
Chan013Mtr001,1,13,1,,false,Channel input level meter (pre/post),33,ji,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4656,0x1230,,,,-,,Instant,0,0,Linear,Scalar
Chan013Mtr002,1,13,2,,false,Channel input level meter (pre/post),34,jj,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4657,0x1231,,,,-,,Instant,0,0,Linear,Scalar
Chan014Mtr001,1,14,1,,false,Channel input level meter (pre/post),35,jk,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4660,0x1234,,,,-,,Instant,0,0,Linear,Scalar
Chan014Mtr002,1,14,2,,false,Channel input level meter (pre/post),36,jl,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4661,0x1235,,,,-,,Instant,0,0,Linear,Scalar
Chan015Mtr001,1,15,1,,false,Channel input level meter (pre/post),37,jm,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4664,0x1238,,,,-,,Instant,0,0,Linear,Scalar
Chan015Mtr002,1,15,2,,false,Channel input level meter (pre/post),38,jn,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4665,0x1239,,,,-,,Instant,0,0,Linear,Scalar
Chan016Mtr001,1,16,1,,false,Channel input level meter (pre/post),39,jo,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4668,0x123C,,,,-,,Instant,0,0,Linear,Scalar
Chan016Mtr002,1,16,2,,false,Channel input level meter (pre/post),40,jp,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4669,0x123D,,,,-,,Instant,0,0,Linear,Scalar
Chan017Mtr001,1,17,1,,false,Channel input level meter (pre/post),41,jq,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4672,0x1240,,,,-,,Instant,0,0,Linear,Scalar
Chan017Mtr002,1,17,2,,false,Channel input level meter (pre/post),42,jr,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4673,0x1241,,,,-,,Instant,0,0,Linear,Scalar
Chan018Mtr001,1,18,1,,false,Channel input level meter (pre/post),43,js,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4676,0x1244,,,,-,,Instant,0,0,Linear,Scalar
Chan018Mtr002,1,18,2,,false,Channel input level meter (pre/post),44,jt,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4677,0x1245,,,,-,,Instant,0,0,Linear,Scalar
Chan019Mtr001,1,19,1,,false,Channel input level meter (pre/post),45,ju,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4680,0x1248,,,,-,,Instant,0,0,Linear,Scalar
Chan019Mtr002,1,19,2,,false,Channel input level meter (pre/post),46,jv,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4681,0x1249,,,,-,,Instant,0,0,Linear,Scalar
Chan020Mtr001,1,20,1,,false,Channel input level meter (pre/post),47,jw,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4684,0x124C,,,,-,,Instant,0,0,Linear,Scalar
Chan020Mtr002,1,20,2,,false,Channel input level meter (pre/post),48,kh,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4685,0x124D,,,,-,,Instant,0,0,Linear,Scalar
Chan021Mtr001,1,21,1,,false,Channel input level meter (pre/post),49,ki,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4688,0x1250,,,,-,,Instant,0,0,Linear,Scalar
