id,chip,type,label,ch_count,inputs,outputs,spi_page,spi_addr,params,ramp_profile
C1_BUS_AUX_06_SEND,1,INTERCHIP_SEND,Aux 6 Bus Send,1,C1_BUS_AUX_06,,-1,-1,sport_id=0;slot=12;global_slot=12;sport_slots=16;signal=BUS_AUX_06,
C1_BUS_AUX_07,1,MIX_BUS,Aux 7 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_AUX_07_SEND,1,4774,bus_id=13;source_count=32,
C1_BUS_AUX_07_SEND,1,INTERCHIP_SEND,Aux 7 Bus Send,1,C1_BUS_AUX_07,,-1,-1,sport_id=0;slot=13;global_slot=13;sport_slots=16;signal=BUS_AUX_07,
C1_BUS_AUX_08,1,MIX_BUS,Aux 8 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_AUX_08_SEND,1,4776,bus_id=14;source_count=32,
C1_BUS_AUX_08_SEND,1,INTERCHIP_SEND,Aux 8 Bus Send,1,C1_BUS_AUX_08,,-1,-1,sport_id=0;slot=14;global_slot=14;sport_slots=16;signal=BUS_AUX_08,
C1_BUS_AUX_09,1,MIX_BUS,Aux 9 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_AUX_09_SEND,1,4778,bus_id=15;source_count=32,
C1_BUS_AUX_09_SEND,1,INTERCHIP_SEND,Aux 9 Bus Send,1,C1_BUS_AUX_09,,-1,-1,sport_id=0;slot=15;global_slot=15;sport_slots=16;signal=BUS_AUX_09,
C1_BUS_AUX_10,1,MIX_BUS,Aux 10 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_AUX_10_SEND,1,4780,bus_id=16;source_count=32,
C1_BUS_AUX_10_SEND,1,INTERCHIP_SEND,Aux 10 Bus Send,1,C1_BUS_AUX_10,,-1,-1,sport_id=1;slot=0;global_slot=16;sport_slots=16;signal=BUS_AUX_10,
C1_BUS_AUX_11,1,MIX_BUS,Aux 11 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_AUX_11_SEND,1,4782,bus_id=17;source_count=32,
