# d24/dsp.csv — PROPOSED DSP address map for D24.
#
# GENERATED by MW/D32/DSP/gen_dsp.py in the invirco/dsp repo from the
# DSP4 node graph (MW/D32/DSP/SHARC/dsp.csv). Do not hand-edit: an
# address typed here is an address no kernel answers on.
#
# Proposed by dsp, landed by the hub at the gate (PW ruling
# 2026-09-08 #5). defs-v* pin: defs-v2026.09.08.4.
#
# ONE ADDRESS MAP FOR THE WHOLE RANGE (decision D3): the superset
# graph is expanded once and this file is the intersection of that
# expansion with this product's cell set, so a cell two products
# share has the same chip, page and address in both files.
#
# 3974 of 4985 defined cells reach a DSP address.
# The other 1011 are named in dsp-unmapped.csv with the
# reason — every defined cell is in exactly one of the two files.
#
# Columns:
#   _Cell        cell name, as spelled by defs/gen/matrix/<p>-mx-master.csv
#   Node         graph node that owns the address (MW/D32/DSP/SHARC/dsp.csv id)
#   NodeType     that node's type
#   DspSpi       DSP the cell lives on: 1 = DSPA (chip 1), 2 = DSPB (chip 2)
#   DspPage      SPI page
#   DspAdd       SPI word address within the page, decimal
#   DspAddHex    the same address, 0xNNNN
#   Access       rw = host writes it | ro = DSP writes it, host polls | mcu = the word carries no DSP symbol (MCU/host hardware control)
#   RampProfile  named ramp preset, or empty for an un-ramped word
#   RampMode     Instant | Slew | LinearFrames
#   RampUpMs     ramp-up time, ms
#   RampDownMs   ramp-down time, ms
#   RampCurve    Linear | Exp
#   RampScope    Scalar = one word ramps on its own | CoeffSetAtomic = the whole coefficient set swaps together
#   Table        host scaling table for the control range, where one applies
#   Notes        what the word is
_Cell,Node,NodeType,DspSpi,DspPage,DspAdd,DspAddHex,Access,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope,Table,Notes
Aux001EqGain001,C2_AUX_EQ_01,EQ_BIQUAD,2,1,4,0x0004,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 1 (same base)
Aux001EqGain002,C2_AUX_EQ_01,EQ_BIQUAD,2,1,9,0x0009,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 2 (same base)
Aux001EqGain003,C2_AUX_EQ_01,EQ_BIQUAD,2,1,14,0x000E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 3 (same base)
Aux001EqGain004,C2_AUX_EQ_01,EQ_BIQUAD,2,1,19,0x0013,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 4 (same base)
Aux001EqHpf001,C2_AUX_EQ_01,EQ_BIQUAD,2,1,4,0x0004,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=20/64=1000/[Log],HPF via EQ band 1
Aux001EqOn001,C2_AUX_EQ_01,EQ_BIQUAD,2,1,25,0x0019,mcu,InstantCtl,Instant,0,0,Linear,Scalar,,
Aux001EqQ001,C2_AUX_EQ_01,EQ_BIQUAD,2,1,4,0x0004,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=0.1/14=10/[Log],Band 1 (same base)
Aux001EqQ002,C2_AUX_EQ_01,EQ_BIQUAD,2,1,9,0x0009,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=0.1/14=10/[Log],Band 2 (same base)
Aux001EqQ003,C2_AUX_EQ_01,EQ_BIQUAD,2,1,14,0x000E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=0.1/14=10/[Log],Band 3 (same base)
Aux001EqQ004,C2_AUX_EQ_01,EQ_BIQUAD,2,1,19,0x0013,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=0.1/14=10/[Log],Band 4 (same base)
Aux001EqShelf001,C2_AUX_EQ_01,EQ_BIQUAD,2,1,4,0x0004,rw,InstantCtl,Instant,0,0,Linear,Scalar,,Shelf mode band 1
Aux001EqShelf002,C2_AUX_EQ_01,EQ_BIQUAD,2,1,19,0x0013,rw,InstantCtl,Instant,0,0,Linear,Scalar,,Shelf mode band 4
Aux001Geq001,C2_AUX_GEQ_01,GEQ,2,1,28,0x001C,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq002,C2_AUX_GEQ_01,GEQ,2,1,29,0x001D,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq003,C2_AUX_GEQ_01,GEQ,2,1,30,0x001E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq004,C2_AUX_GEQ_01,GEQ,2,1,31,0x001F,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq005,C2_AUX_GEQ_01,GEQ,2,1,32,0x0020,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq006,C2_AUX_GEQ_01,GEQ,2,1,33,0x0021,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq007,C2_AUX_GEQ_01,GEQ,2,1,34,0x0022,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq008,C2_AUX_GEQ_01,GEQ,2,1,35,0x0023,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq009,C2_AUX_GEQ_01,GEQ,2,1,36,0x0024,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq010,C2_AUX_GEQ_01,GEQ,2,1,37,0x0025,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq011,C2_AUX_GEQ_01,GEQ,2,1,38,0x0026,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq012,C2_AUX_GEQ_01,GEQ,2,1,39,0x0027,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq013,C2_AUX_GEQ_01,GEQ,2,1,40,0x0028,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq014,C2_AUX_GEQ_01,GEQ,2,1,41,0x0029,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq015,C2_AUX_GEQ_01,GEQ,2,1,42,0x002A,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq016,C2_AUX_GEQ_01,GEQ,2,1,43,0x002B,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq017,C2_AUX_GEQ_01,GEQ,2,1,44,0x002C,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq018,C2_AUX_GEQ_01,GEQ,2,1,45,0x002D,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq019,C2_AUX_GEQ_01,GEQ,2,1,46,0x002E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq020,C2_AUX_GEQ_01,GEQ,2,1,47,0x002F,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
Aux001Geq021,C2_AUX_GEQ_01,GEQ,2,1,48,0x0030,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-12/127=12/[Lin],
