chip,addr,hex,verdict,role,predicted_mapped,live_mapped,err_delta,unit,cells
2,1022,0x03FE,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchGain002
2,1023,0x03FF,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchGain003
2,1024,0x0400,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchGain004
2,1025,0x0401,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchGain005
2,1026,0x0402,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchGain006
2,1027,0x0403,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchQ001
2,1028,0x0404,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchQ002
2,1029,0x0405,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchQ003
2,1030,0x0406,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchQ004
2,1031,0x0407,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchQ005
2,1032,0x0408,ECHO,INERT,True,True,0,UNDECLARED,Aux012AntiFbNotchQ006
2,1033,0x0409,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1034,0x040A,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1035,0x040B,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1036,0x040C,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1037,0x040D,ECHO,CONSUMED,True,True,0,UNDECLARED,Aux012LimiterOn001
2,1038,0x040E,ECHO,CONSUMED,True,True,0,UNDECLARED,Aux012LimiterThr001
2,1039,0x040F,ECHO,CONSUMED,True,True,0,UNDECLARED,Aux012LimiterAtt001
2,1040,0x0410,ECHO,CONSUMED,True,True,0,UNDECLARED,Aux012LimiterRel001
2,1041,0x0411,ECHO,CONSUMED,True,True,0,UNDECLARED,Aux012Delay001
2,1042,0x0412,ECHO,INERT,True,True,0,UNDECLARED,
2,1043,0x0413,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1044,0x0414,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001RtgLevel001
2,1045,0x0415,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1046,0x0416,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001RtgMute001
2,1047,0x0417,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001RtgDca001
2,1048,0x0418,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001EqFreq001 Grp001EqGain001 Grp001EqHpf001 Grp001EqQ001 Grp001EqShelf001
2,1049,0x0419,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1050,0x041A,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1051,0x041B,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1052,0x041C,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1053,0x041D,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001EqFreq002 Grp001EqGain002 Grp001EqQ002
2,1054,0x041E,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1055,0x041F,ECHO,CONSUMED,True,True,0,UNDECLARED,
