pin,rtl_name,fitter_dir,net,boards,active_devices_besides_U3,connector_pins
122,RESERVED_INPUT_WITH_WEAK_PULLUP,:,LOGIC_PLL7_3,dsp;digital,NONE,"dsp:J1.60, dsp:J2.60, digital:J18.60"
123,cdc_o,input,LOGIC_PLL8_0,dsp;digital;analog,analog:U3.31 (via analog:R19),"dsp:J1.55, dsp:J2.55, digital:J18.55, digital:J41.8, analog:J58.8"
124,cdc_i,output,LOGIC_PLL8_1,dsp;digital,analog:U3.1 (via digital:R115),"dsp:J1.56, dsp:J2.56, digital:J18.56"
125,RESERVED_INPUT_WITH_WEAK_PULLUP,:,LOGIC_PLL8_2,dsp;digital,NONE,"dsp:J1.53, dsp:J2.53, digital:J18.53"
126,VCCINT,power,+1V8.00178,dsp,dsp:U2.2,"dsp:C12.1, dsp:C4.1, dsp:C7.1"
127,RESERVED_INPUT_WITH_WEAK_PULLUP,:,LOGIC_PLL8_3,dsp;digital,NONE,"dsp:J1.54, dsp:J2.54, digital:J18.54, digital:J33.12"
128,GNDINT,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
129,da[3],output,LOGIC_DA3,dsp;digital,analog:U92.4** (via digital:R114),"dsp:J1.50, dsp:J2.50, digital:J18.50"
130,da[2],output,LOGIC_DA2,dsp;digital,NONE,"dsp:J1.49, dsp:J2.49, digital:J18.49"
131,da[1],output,LOGIC_DA1,dsp;digital,NONE,"dsp:J1.48, dsp:J2.48, digital:J18.48"
132,da[0],output,LOGIC_DA0,dsp;digital,analog:U81.4** (via digital:R113),"dsp:J1.47, dsp:J2.47, digital:J18.47"
133,ad[3],input,LOGIC_AD3,dsp;digital,NONE,"dsp:J1.46, dsp:J2.46, digital:J18.46, digital:J33.15"
134,ad[2],input,LOGIC_AD2,dsp;digital;analog,analog:U60.36 (via analog:R1273),"dsp:J1.45, dsp:J2.45, digital:J18.45, digital:J41.6, analog:J58.6"
135,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
136,VCCIO2,power,+3V3,dsp;digital,(rail),-
137,RESERVED_INPUT_WITH_WEAK_PULLUP,:,LOGIC_MEMS,dsp;digital,NONE,"dsp:J1.26, dsp:J2.26, digital:J18.26"
138,ad[1],input,LOGIC_AD1,dsp;digital;analog,analog:U39.36 (via analog:R686),"dsp:J1.44, dsp:J2.44, digital:J18.44, digital:J41.4, analog:J58.4"
139,ad[0],input,LOGIC_AD0,dsp;digital;analog,analog:U15.36 (via analog:R53),"dsp:J1.43, dsp:J2.43, digital:J18.43, digital:J41.2, analog:J58.2"
140,dsp_clk,output,DSP_CLK,dsp,dsp:U5.5 (via dsp:R33); dsp:U6.5 (via dsp:R65),-
141,conv_fs,output,L0,dsp;digital,analog:U98.2 (via digital:R112),"dsp:J1.38, dsp:J2.38, digital:J18.38"
142,conv_bck,output,C1,dsp;digital,analog:U97.2 (via digital:R111),"dsp:J1.37, dsp:J2.37, digital:J18.37"
143,no[3],output,LOGIC_NO3,dsp;digital;opt1,NONE,"dsp:J1.34, dsp:J2.34, digital:J1.A6, digital:J18.34, opt1:SLOT.A6"
144,no[2],output,LOGIC_NO2,dsp;digital;opt1,NONE,"dsp:J1.33, dsp:J2.33, digital:J1.A7, digital:J18.33, opt1:SLOT.A7"
