17:22:35 AN_EN: 26: op -- pd | hi // GPIO26 = output
17:22:36 base image VERIFIED; strips on AUX 1: [6]
17:22:37 J25 presence: code 0 coherent loop gain +5.577 dB (S55 law +5.578)
17:24:44 J25 silent hw_dn  (20, 0.0) -> (17, 0.0)  change @ 5034.4  pk pre -48.9 / post -50.0 dBFS  ovr 0  map [2.6, 17.7]  
17:24:48 J25 silent hw_dn  (17, 0.0) -> (15, 0.0)  change @ 5024.7  pk pre -50.4 / post -52.7 dBFS  ovr 0  map [1.8, 11.5]  
17:24:51 J25 silent hw_dn  (15, 0.0) -> (13, 0.0)  change @ 5051.9  pk pre -55.0 / post -54.6 dBFS  ovr 0  map [5.6, 21.1]  
17:24:55 J25 silent hw_dn  (13, 0.0) -> (11, 0.0)  change @ 5025.3  pk pre -54.7 / post -55.4 dBFS  ovr 0  map [2.1, 11.7]  
17:24:59 J25 silent hw_dn  (11, 0.0) -> (10, 0.0)  change @ 5045.2  pk pre -57.8 / post -57.2 dBFS  ovr 0  map [2.5, 18.7]  
17:25:02 J25 silent hw_dn  (10, 0.0) -> (9, 0.0)  change @ 5044.1  pk pre -56.5 / post -58.4 dBFS  ovr 0  map [6.4, 17.0]  
17:25:06 J25 silent hw_dn  (9, 0.0) -> (7, 0.0)  change @ 5038.7  pk pre -57.4 / post -58.8 dBFS  ovr 0  map [2.8, 11.9]  
17:25:10 J25 silent hw_dn  (7, 0.0) -> (6, 0.0)  change @ 5012.4  pk pre -61.2 / post -63.7 dBFS  ovr 0  map [6.1, 17.4]  
17:25:13 J25 silent hw_dn  (6, 0.0) -> (5, 0.0)  change @ 5025.1  pk pre -61.8 / post -63.4 dBFS  ovr 0  map [2.9, 12.3]  
17:25:17 J25 silent hw_dn  (5, 0.0) -> (4, 0.0)  change @ 5052.6  pk pre -64.2 / post -65.0 dBFS  ovr 0  map [7.6, 8.5]  
17:25:20 J25 silent hw_dn  (4, 0.0) -> (3, 0.0)  change @ 5016.1  pk pre -64.7 / post -67.7 dBFS  ovr 0  map [6.8, 20.1]  
17:25:24 J25 silent hw_dn  (3, 0.0) -> (2, 0.0)  change @ 5028.0  pk pre -70.7 / post -70.9 dBFS  ovr 0  map [2.8, 15.5]  
17:25:28 J25 silent hw_dn  (2, 0.0) -> (1, 0.0)  change @ 5048.8  pk pre -72.7 / post -74.3 dBFS  ovr 0  map [7.7, 8.2]  
17:25:31 J25 silent hw_dn  (1, 0.0) -> (0, 0.0)  change @ 5050.5  pk pre -80.0 / post -81.4 dBFS  ovr 0  map [7.6, 8.5]  
17:25:35 J25 silent bit    (31, 0.0) -> (32, 0.0)  change @ 5051.5  pk pre -47.4 / post -43.7 dBFS  ovr 0  map [7.5, 8.6]  
17:25:38 J25 silent bit    (32, 0.0) -> (31, 0.0)  change @ 5048.8  pk pre -43.9 / post -46.8 dBFS  ovr 0  map [7.8, 8.3]  
17:25:42 J25 silent bit    (15, 0.0) -> (16, 0.0)  change @ 5044.7  pk pre -54.2 / post -50.7 dBFS  ovr 0  map [3.5, 9.3]  
17:25:46 J25 silent bit    (16, 0.0) -> (15, 0.0)  change @ 5048.5  pk pre -51.3 / post -52.9 dBFS  ovr 0  map [7.7, 8.3]  
17:25:49 J25 silent bit    (7, 0.0) -> (8, 0.0)  change @ 5045.6  pk pre -61.8 / post -57.3 dBFS  ovr 0  map [3.7, 8.8]  
17:25:53 J25 silent bit    (8, 0.0) -> (7, 0.0)  change @ 5049.4  pk pre -59.1 / post -60.7 dBFS  ovr 0  map [7.7, 8.2]  
17:25:57 J25 silent bit    (3, 0.0) -> (4, 0.0)  change @ 5048.7  pk pre -70.8 / post -64.1 dBFS  ovr 0  map [7.8, 8.2]  
17:26:00 J25 silent bit    (4, 0.0) -> (3, 0.0)  change @ 5049.9  pk pre -65.3 / post -68.1 dBFS  ovr 0  map [7.7, 8.2]  
17:26:04 J25 silent bit    (1, 0.0) -> (2, 0.0)  change @ 5050.6  pk pre -79.0 / post -73.9 dBFS  ovr 0  map [7.7, 8.7]  
17:26:08 J25 silent bit    (2, 0.0) -> (1, 0.0)  change @ 5049.5  pk pre -73.6 / post -72.7 dBFS  ovr 0  map [7.7, 8.3]  
17:26:11 J25 silent bit    (0, 0.0) -> (1, 0.0)  change @ 5050.1  pk pre -92.5 / post -75.5 dBFS  ovr 0  map [7.6, 11.8]  
17:26:15 J25 silent bit    (1, 0.0) -> (0, 0.0)  change @ 5049.1  pk pre -80.8 / post -81.2 dBFS  ovr 0  map [7.7, 8.2]  
17:26:18 J25 silent trim   (0, 0.0) -> (0, 1.0)  change @ 4863.9  pk pre -91.6 / post -89.5 dBFS  ovr 0  map [7.8, 8.3]  
17:26:22 J25 silent trim   (0, 1.0) -> (0, 0.0)  change @ 4864.5  pk pre -91.9 / post -90.7 dBFS  ovr 0  map [7.5, 8.5]  
17:26:26 J25 silent trim   (0, 0.0) -> (0, 3.0)  change @ 4863.9  pk pre -92.1 / post -90.4 dBFS  ovr 0  map [7.6, 8.4]  
17:26:29 J25 silent trim   (0, 3.0) -> (0, 0.0)  change @ 4860.0  pk pre -89.8 / post -91.3 dBFS  ovr 0  map [3.5, 8.8]  
17:26:33 J25 silent trim   (0, 0.0) -> (0, 6.0)  change @ 4863.8  pk pre -92.8 / post -85.5 dBFS  ovr 0  map [7.7, 8.2]  
17:26:36 J25 silent trim   (0, 6.0) -> (0, 0.0)  change @ 4861.0  pk pre -85.5 / post -90.7 dBFS  ovr 0  map [4.8, 10.5]  
17:26:40 J25 silent trim   (0, 0.0) -> (0, 12.0)  change @ 4860.2  pk pre -93.2 / post -79.0 dBFS  ovr 0  map [3.6, 10.3]  
17:26:44 J25 silent trim   (0, 12.0) -> (0, 0.0)  change @ 4864.2  pk pre -78.5 / post -84.7 dBFS  ovr 0  map [7.8, 8.3]  
17:26:47 J25 silent combo  (6, 0.315) -> (7, 0.401)  change @ 5048.9  pk pre -61.4 / post -60.7 dBFS  ovr 0  map [7.8, 8.4]  
17:26:51 J25 silent combo  (7, 0.401) -> (6, 0.315)  change @ 5048.7  pk pre -60.2 / post -63.0 dBFS  ovr 0  map [7.6, 8.2]  
17:26:55 J25 tone   null   (0, 0.0) -> (0, 0.0)  change @ 4800  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [3.5, 9.6]  
17:26:58 J25 tone   hw_up  (0, 0.0) -> (1, 0.0)  change @ 5048.7  pk pre -20.9 / post -8.0 dBFS  ovr 0  map [7.8, 8.3]  
17:27:02 J25 tone   hw_up  (1, 0.0) -> (2, 0.0)  change @ 5049.1  pk pre -14.6 / post -8.0 dBFS  ovr 0  map [7.7, 8.2]  
17:27:06 J25 tone   hw_up  (2, 0.0) -> (3, 0.0)  change @ 5048.9  pk pre -10.7 / post -8.0 dBFS  ovr 0  map [7.7, 8.3]  
17:27:09 J25 tone   hw_up  (3, 0.0) -> (4, 0.0)  change @ 5053.1  pk pre -12.8 / post -8.0 dBFS  ovr 0  map [7.5, 10.3]  
17:27:13 J25 tone   hw_up  (4, 0.0) -> (5, 0.0)  change @ 5049.3  pk pre -9.2 / post -8.0 dBFS  ovr 0  map [7.8, 8.3]  
17:27:17 J25 tone   hw_up  (5, 0.0) -> (6, 0.0)  change @ 5045.0  pk pre -9.6 / post -8.0 dBFS  ovr 0  map [3.6, 9.1]  
17:27:20 J25 tone   hw_up  (6, 0.0) -> (7, 0.0)  change @ 5049.3  pk pre -8.9 / post -8.0 dBFS  ovr 0  map [7.7, 8.3]  
17:27:24 J25 tone   hw_up  (7, 0.0) -> (9, 0.0)  change @ 5049.0  pk pre -12.3 / post -8.0 dBFS  ovr 0  map [7.7, 8.2]  
17:27:27 J25 tone   hw_up  (9, 0.0) -> (10, 0.0)  change @ 5051.4  pk pre -8.7 / post -8.0 dBFS  ovr 0  map [7.3, 8.4]  
17:27:31 J25 tone   hw_up  (10, 0.0) -> (11, 0.0)  change @ 5044.5  pk pre -8.5 / post -8.0 dBFS  ovr 0  map [3.4, 8.4]  
17:27:35 J25 tone   hw_up  (11, 0.0) -> (13, 0.0)  change @ 5048.9  pk pre -9.6 / post -8.0 dBFS  ovr 0  map [7.7, 8.3]  
17:27:38 J25 tone   hw_up  (13, 0.0) -> (15, 0.0)  change @ 5049.0  pk pre -8.9 / post -8.0 dBFS  ovr 0  map [7.8, 8.3]  
17:27:42 J25 tone   hw_up  (15, 0.0) -> (17, 0.0)  change @ 5048.7  pk pre -11.2 / post -8.0 dBFS  ovr 0  map [7.5, 9.1]  
17:27:46 J25 tone   hw_up  (17, 0.0) -> (20, 0.0)  change @ 5049.5  pk pre -9.1 / post -8.0 dBFS  ovr 0  map [7.7, 8.3]  
17:27:49 J25 tone   hw_up  (20, 0.0) -> (23, 0.0)  change @ 5044.9  pk pre -8.7 / post -8.0 dBFS  ovr 0  map [3.4, 9.1]  
