Type,Name,Notes,Grp,Mcu,Net,Ref,Cell,MxAdd,MxDat,MxDatS,SkinLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,FxMute,toggle_latched,6,A6,P17,SW1,Fx001Mute001,5571,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,FxMuteWhite,force_on,6,B11,P25,LD26;LD36,Fx001Mute001,5571,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,FxMuteRed,6,6,B10,P24,LD2;LD3,Fx001Mute001,5571,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,Mute,7,7,B6,P49,SW6,Sys001Skin001,6661,0,1,Z_1_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Mute,7,7,A7,P18,LD7;LD17,Sys001Skin001,6661,0,1,Z_1_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,Scene,8,8,B12,P26,SW7,Sys001Skin001,6661,0,1,S_1_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Scene,8,8,B13,P27,LD27;LD37,Sys001Skin001,6661,0,1,S_1_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,L,1,1,B4,P47,SW8,Sys001LCR001,6607,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,L,1,1,B5,P48,LD8;LD9,Sys001LCR001,6607,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,C,2,2,D2,P45,SW9,Sys001LCR001,6607,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,C,2,2,B3,P46,LD18;LD19,Sys001LCR001,6607,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,R,3,3,C11,P43,SW11,Sys001LCR001,6607,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,R,3,3,C12,P44,LD28;LD29,Sys001LCR001,6607,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,Monitor,12,12,C1,P6,SW12,Sys001Skin001,6661,0,1,Z9_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Monitor,12,12,C0,P5,LD12;LD13,Sys001Skin001,6661,0,1,Z9_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,RecPlay,13,13,F0,P3,SW13,Sys001Skin001,6661,0,1,RP_2_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,RecPlayWhite,force_on,13,F1,P4,LD22;LD23,Sys001Skin001,6661,0,1,RP_2_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,RecPlayRec,force_off,13,C15,P2,LD40;LD41,Sys001Skin001,6661,0,1,RP_2_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,Studio,14,14,C14,P1,SW14,Sys001Skin001,6661,0,1,Z_8_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Studio,14,14,C13,P0,LD32;LD33,Sys001Skin001,6661,0,1,Z_8_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENC,Enc,,,A14;A15,P40;P41,SW15,Sys001Enc001,6477,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc1,,,B14,P28,LD30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc2,,,B15,P29,LD38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc3,,,C6,P30,LD39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc4,,,C7,P31,LD31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc5,,,C8,P32,LD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc6,,,C3,P8,LD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc7,,,C2,P7,LD10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Enc8,,,A11,P35,LD20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCU,SW_LEFT,,,STM32F030R8,H1S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,MonoAux,1,1,C8,P32,SW1,Sys001Skin001,6661,0,1,V_1_32_Tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,MonoAux,1,1,C7,P31,LD11,Sys001Skin001,6661,0,1,V_1_32_Tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
